omega          A(omega)        A(omega)         A(omega)
-56.331187819  0.00000000  0.00000000  0.00000000
-37.016468056  0.00000000  0.00000000  0.00000000
-27.359108175  0.00000000  0.00000000  0.00000000
-21.564692246  0.00000000  0.00000000  0.00000000
-17.701748294  0.00000029  0.00000040  0.00000026
-14.942502613  0.00001452  0.00001733  0.00001338
-12.873068353  0.00018477  0.00019859  0.00017659
-11.263508373  0.00109528  0.00111581  0.00106448
-9.975860388  0.00390331  0.00388871  0.00381678
-8.922330220  0.00989404  0.00983816  0.00967006
-8.044388412  0.01961885  0.01964881  0.01912399
-7.301514575  0.03248325  0.03284172  0.03159198
-6.664765572  0.04694962  0.04782344  0.04564327
-6.112916436  0.06120904  0.06257334  0.05962602
-5.630048442  0.07377903  0.07537564  0.07218547
-5.203988447  0.08381483  0.08526119  0.08252096
-4.825268452  0.09110540  0.09203913  0.09038028
-4.486413719  0.09589884  0.09607974  0.09591697
-4.181444460  0.09868768  0.09803184  0.09951449
-3.905519891  0.10003547  0.09859725  0.10164071
-3.654679375  0.10046794  0.09839755  0.10275216
-3.425651077  0.10042139  0.09792035  0.10324340
-3.215708471  0.10022878  0.09751340  0.10342891
-3.022561274  0.10012853  0.09740830  0.10354209
-2.844271553  0.10027375  0.09772614  0.10374980
-2.679188478  0.10101850  0.09881429  0.10439406
-2.525897051  0.10226132  0.10050896  0.10541239
-2.372605625  0.10282916  0.10163176  0.10563228
-2.219314198  0.10484619  0.10433630  0.10710064
-2.066022771  0.10747591  0.10768159  0.10901976
-1.912731345  0.11060260  0.11150405  0.11124250
-1.759439918  0.11413042  0.11559123  0.11368591
-1.606148491  0.11762296  0.11938522  0.11594665
-1.452857064  0.12034598  0.12205320  0.11737872
-1.299565638  0.12115513  0.12246234  0.11700931
-1.146274211  0.11859111  0.11936584  0.11365865
-0.992982784  0.11131650  0.11182968  0.10635755
-0.839691358  0.09903531  0.09987944  0.09515083
-0.686399931  0.08349569  0.08504172  0.08188747
-0.533108504  0.06849169  0.07013038  0.07008223
-0.379817078  0.05767450  0.05767055  0.06263932
-0.226525651  0.04980890  0.04637838  0.05533209
-0.073234224  0.03489630  0.03255006  0.03346913
 0.080057202  0.03673197  0.03960900  0.03074545
 0.233348629  0.12197479  0.13322444  0.11343886
 0.386640056  0.46826390  0.46901757  0.48239819
 0.539931483  1.09513912  1.05652188  1.13984397
 0.693222909  1.55698799  1.52163677  1.57190770
 0.846514336  1.53703911  1.55136767  1.50111137
 0.999805763  1.22748077  1.27260631  1.17684111
 1.153097189  0.89465907  0.93801794  0.85664251
 1.306388616  0.64563022  0.67381027  0.62560317
 1.459680043  0.48379869  0.49690316  0.47799057
 1.612971469  0.38527217  0.38712802  0.38908159
 1.766262896  0.32841525  0.32244876  0.33862034
 1.919554323  0.29896616  0.28743050  0.31366077
 2.072845749  0.28849550  0.27271782  0.30660984
 2.226137176  0.29226555  0.27302389  0.31316636
 2.379428603  0.30769795  0.28552090  0.33091888
 2.532720029  0.33340963  0.30878939  0.35847656
 2.686011456  0.36860875  0.34214933  0.39492852
 2.839302883  0.41269766  0.38521160  0.43949526
 2.992594310  0.46499918  0.43755442  0.49129857
 3.145885736  0.52456814  0.49848136  0.54921617
 3.299177163  0.59007598  0.56684976  0.61180688
 3.452468590  0.65976711  0.64097509  0.67730034
 3.605760016  0.73148633  0.71861994  0.74364491
 3.759051443  0.80277190  0.79707139  0.80860393
 3.912342870  0.87100080  0.87329813  0.86988554
 4.065634296  0.93356615  0.94416703  0.92528826
 4.218925723  0.98806210  1.00668789  0.97284315
 4.372217150  1.03245225  1.05825144  1.01093565
 4.525508576  1.06520107  1.09682757  1.03839416
 4.678800003  1.08535538  1.12109984  1.05453844
 4.832091430  1.09257060  1.13052336  1.05918645
 4.985382857  1.08708513  1.12530690  1.05262372
 5.138674283  1.06965158  1.10632998  1.03554285
 5.291965710  1.04143769  1.07501278  1.00896280
 5.445257137  1.00391141  1.03316093  0.97413820
 5.598548563  0.95872244  0.98280394  0.93246744
 5.751839990  0.90759173  0.92604527  0.88540737
 5.905131417  0.85221611  0.86493488  0.83439926
 6.058422843  0.79419247  0.80137085  0.78080946
 6.211714270  0.73496301  0.73703182  0.72588535
 6.365005697  0.67578083  0.67333863  0.67072654
 6.518297123  0.61769324  0.61144029  0.61626932
 6.671588550  0.56153988  0.55221980  0.56328244
 6.824879977  0.50796196  0.49631381  0.51237179
 6.978171403  0.45741913  0.44414083  0.46399133
 7.131462830  0.41021112  0.39593396  0.41845829
 7.284754257  0.36650155  0.35177488  0.37597075
 7.438045684  0.32634202  0.31162620  0.33662595
 7.591337110  0.28969498  0.27536087  0.30043835
 7.744628537  0.25645475  0.24278812  0.26735654
 7.897919964  0.22646596  0.21367499  0.23727878
 8.051211390  0.19953876  0.18776352  0.21006585
 8.204502817  0.17546379  0.16478626  0.18555468
 8.357794244  0.15401564  0.14447055  0.16356080
 8.511085670  0.13498420  0.12656686  0.14390991
 8.664377097  0.11810469  0.11078588  0.12636552
 8.817668524  0.10331096  0.09702504  0.11089154
 8.970959950  0.08985118  0.08455403  0.09674300
 9.124251377  0.07946138  0.07504500  0.08568353
 9.277542804  0.06894485  0.06533963  0.07452877
 9.442625879  0.05905993  0.05623967  0.06398814
 9.620915600  0.05030917  0.04821899  0.05458625
 9.814062797  0.04217756  0.04076160  0.04581286
 10.024005403  0.03480542  0.03399088  0.03782323
 10.253033701  0.02819561  0.02789887  0.03063195
 10.503874217  0.02236671  0.02249476  0.02426946
 10.779798785  0.01731911  0.01777275  0.01874660
 11.084768045  0.01304007  0.01371788  0.01405897
 11.423622777  0.00950141  0.01030451  0.01018379
 11.802342773  0.00665939  0.00749672  0.00707896
 12.228402768  0.00445515  0.00524895  0.00468305
 12.711270762  0.00281627  0.00350714  0.00291671
 13.263119898  0.00165946  0.00221019  0.00168580
 13.899868901  0.00089459  0.00129214  0.00088665
 14.642742738  0.00042958  0.00068379  0.00041277
 15.520684545  0.00017680  0.00031579  0.00016349
 16.574214714  0.00005868  0.00011984  0.00005181
 17.861862698  0.00001435  0.00003413  0.00001200
 19.471422679  0.00000218  0.00000610  0.00000172
 21.540856939  0.00000016  0.00000053  0.00000012
 24.300102619  0.00000000  0.00000001  0.00000000
 28.163046572  0.00000000  0.00000000  0.00000000
 33.957462501  0.00000000  0.00000000  0.00000000
 43.614822382  0.00000000  0.00000000  0.00000000
